0.3 0
0.6 0
0.9 0
1.2 0
1.5 0
1.8 0
2.1 0
2.4 0
2.7 0
3 0
3.3 0
3.6 0
3.9 0
4.2 0
4.5 0
4.8 0
5.1 0
5.4 0
5.7 0
6 0
6.3 0
6.6 0
6.9 0
7.2 0
7.5 0
7.8 0
8.1 0
8.4 0
8.7 0
9 0
9.3 0
9.6 0
9.9 0
10.2 0
10.5 0
10.8 0
11.1 0
11.4 0
11.7 0
12 0
12.3 0
12.6 0
12.9 0
13.2 0
13.5 0
13.8 0
14.1 0
14.4 0
14.7 0
15 0
15.3 0
15.6 0
15.9 0
16.2 0
16.5 0
16.8 0
17.1 0
17.4 0
17.7 0
18 0
18.3 0
18.6 0
18.9 0
19.2 0
19.5 0
19.8 0
20.1 0
20.4 0
20.7 0
21 0
21.3 0
21.6 0
21.9 0
22.2 0
22.5 0
22.8 0
23.1 0
23.4 0
23.7 0
24 0
24.3 0
24.6 0
24.9 0
25.2 0
297.9 0
298.2 0
298.5 0
298.8 0
299.1 0
299.4 0
